m/z,Average,Tryp R05,IMS199_Chemo_Left_4K,IMS199_Control_Right_Bottom_4K,IMS199_Control_Right_Top_4K
1363.6538086,1.45302,1.75477,1.40976,1.45544,1.46075
1364.3498535,1.68428,1.6331,1.58694,1.88955,1.71927
1365.0457764,1.5548,1.65111,1.63119,1.62561,1.39794
1365.7418213,1.33317,2.01313,1.35316,1.23984,1.19874
1366.4378662,1.45357,2.14629,1.33223,1.53831,1.43624
1367.1339111,1.56861,2.03603,1.57319,1.61445,1.41367
1367.8299561,1.41176,2.17772,1.47603,1.28679,1.19403
1368.526001,1.43335,2.13379,1.28479,1.51432,1.4143
1369.2220459,1.53224,2.11748,1.49323,1.5497,1.43266
1369.9180908,1.38853,2.12232,1.46006,1.31724,1.12871
1370.6141357,1.32907,2.08257,1.20703,1.34924,1.30942
1371.3101807,1.44879,2.0133,1.36812,1.51583,1.36728
1372.0061035,1.3779,1.99228,1.41212,1.35851,1.16788
1372.7021484,1.26051,1.95055,1.2281,1.20426,1.16686
1373.3981934,1.40579,1.94558,1.31561,1.49096,1.36281
1374.0942383,1.38267,1.82704,1.41668,1.38402,1.22732
1374.7902832,1.26359,1.7202,1.31635,1.18699,1.11416
1375.4863281,1.35959,1.7468,1.27433,1.44282,1.33626
1376.182373,1.50164,1.66212,1.4914,1.59018,1.42757
1376.878418,1.34333,1.58358,1.42617,1.30953,1.17399
1377.5744629,1.48609,1.6166,1.59136,1.42777,1.33795
1378.2705078,2.18125,1.65077,2.07449,2.49805,2.34802
1378.9664307,1.94927,1.56905,2.2376,1.96994,1.64385
1379.6624756,1.49223,1.92622,1.41903,1.46008,1.52693
1380.3585205,1.66404,2.42298,1.49735,1.75799,1.63223
1381.0545654,1.95649,2.27741,2.06132,1.82417,1.70331
1381.7506104,1.5039,2.12355,1.69649,1.23199,1.22282
1382.4466553,1.62908,2.03176,1.41946,1.74879,1.67525
1383.1427002,1.63236,1.83801,1.64431,1.6101,1.54653
1383.8387451,1.39068,1.90923,1.54207,1.25918,1.13421
1384.53479,1.43039,1.86539,1.25691,1.53026,1.50273
1385.2307129,1.49612,1.87239,1.44973,1.56588,1.42445
1385.9267578,1.42913,2.27617,1.54892,1.29305,1.14482
1386.6228027,1.38777,2.17406,1.23747,1.42571,1.36876
1387.3188477,1.55087,2.15703,1.47945,1.5986,1.47955
1388.0148926,1.43991,2.05417,1.48642,1.42867,1.24016
1388.7109375,1.31773,1.85716,1.30893,1.25721,1.23919
1389.4069824,1.45996,1.85919,1.39855,1.53951,1.40561
1390.1030273,1.51284,1.82023,1.56078,1.52479,1.3629
1390.7990723,1.31984,1.79975,1.42535,1.21016,1.11684
1391.4951172,1.41295,1.89687,1.2803,1.51868,1.4228
1392.19104,1.46819,1.84469,1.44668,1.51862,1.37378
1392.887085,1.33321,1.81571,1.42104,1.24178,1.14186
1393.5831299,1.32754,1.86887,1.232,1.35852,1.31397
1394.2791748,1.40493,1.78338,1.37856,1.42988,1.33691
1394.9752197,1.31627,1.64572,1.36636,1.283,1.1561
1395.6712646,1.27389,1.87488,1.21901,1.2454,1.19747
1396.3673096,1.38462,2.08087,1.29888,1.4126,1.29704
1397.0633545,1.56721,2.09803,1.68476,1.52968,1.28715
1397.7593994,1.40024,1.94869,1.40921,1.30171,1.29309
1398.4553223,1.55473,1.97968,1.41108,1.69716,1.58284
1399.1513672,1.68949,1.88582,1.76346,1.74093,1.53065
1399.8474121,1.43874,1.86202,1.57243,1.31887,1.23436
1400.543457,1.50344,1.74788,1.30188,1.68101,1.63621
1401.239502,1.58789,1.76412,1.57547,1.66187,1.52812
1401.9355469,1.41508,2.15744,1.47672,1.32542,1.18444
1402.6315918,1.37443,2.35692,1.23809,1.35389,1.34205
1403.3276367,1.48568,2.33998,1.3787,1.50623,1.39706
1404.0236816,1.43725,2.25627,1.46371,1.38654,1.20454
1404.7197266,1.35751,2.11694,1.30239,1.30673,1.28334
1405.4156494,1.41384,2.09209,1.30842,1.47681,1.36424
1406.1116943,1.41594,1.99457,1.40942,1.41425,1.2848
1406.8077393,1.27588,1.90024,1.32137,1.18646,1.11935
1407.5037842,1.36021,1.87303,1.22721,1.44945,1.36092
